px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
18.4142	6.84056	-5.0457	-2.12477	0.471145	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.261018
18.5658	6.98336	-4.99108	-2.12837	0.442647	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	2.94191
18.7123	7.19164	-5.00288	-2.11792	0.422402	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	0.489818
18.9123	7.33012	-4.97095	-2.14063	0.373903	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	4.58681
18.9958	7.54899	-4.93687	-2.0928	0.422908	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	4.55184
19.0895	7.79662	-4.95415	-2.05434	0.441956	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	0.681938
19.2073	8.00977	-4.95109	-2.03698	0.435104	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	0.351216
19.2888	8.22119	-4.92703	-2.00847	0.44375	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	1.70796
19.3852	8.43729	-4.92136	-1.99082	0.432765	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	2.44363
19.4824	8.59183	-4.84898	-1.98481	0.418307	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	5.31079
19.5689	8.81004	-4.83637	-1.95795	0.430723	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	0.771469
19.7341	8.97851	-4.81016	-1.97557	0.387998	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	4.71525
19.8022	9.20901	-4.80111	-1.93806	0.418774	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	1.04477
19.9367	9.4206	-4.80691	-1.93829	0.394879	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	2.70771
19.9763	9.65367	-4.78631	-1.88823	0.446243	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	2.94214
20.0678	9.88004	-4.7914	-1.87346	0.43763	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	0.468221
20.1258	10.1276	-4.81104	-1.84818	0.435316	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	6.7801
20.1772	10.3839	-4.83368	-1.81785	0.443882	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	0.423149
